OCCURRENCE_DATE_AND_TIME,WEATHER,LOCATION,LATITUDE,LONGITUDE,ACCIDENT_TYPE_(CATEGORY),ROAD_TYPE,SPEED_LIMIT_ON_ROAD,VEHICLE_BEHAVIOR_AT_ACCIDENT,ACCIDENT_LOCATION,VEHICLE_1:_BODY_TYPE,Area
2019-01-01 08:00:00,晴れ,泉佐野市泉州空港北,34.44694,135.24103,健康起因,道路(自動車専用道路等),60.0,停車,路肩,箱型,泉佐野市
2019-01-01 08:56:00,曇,東北上り３６９．６（路肩）【宮城県大崎市三本木新沼舞台付近】,40.72787,141.25789,車両故障,道路(高速自動車国道),90.0,直進(加速),車道,トラクタ,東北上り３６９．６（路肩）【宮城県大崎市
2019-01-01 13:55:00,晴れ,瀬戸市陶本町２丁目,35.22557,137.09769,健康起因,その他の場所,,停車,その他,リヤーエンジン,瀬戸市
2019-01-01 15:20:00,晴れ,京都市中京区中島町,35.00894,135.77055,車両故障,道路(その他),40.0,直進(定速),車道,リヤーエンジン,京都市
2019-01-01 17:08:00,晴れ,富津市亀沢,35.27262,139.90591,衝突,道路(高速自動車国道),70.0,直進(定速),車道,ステーションワゴン,富津市
2019-01-01 17:51:00,晴れ,大阪市此花区四貫島１丁目５番先,34.68522,135.45688,車両故障,道路(その他),60.0,停車,バス停留所,リヤーエンジン,大阪市
2019-01-02 00:43:00,晴れ,愛甲郡愛川町中津２６１９−１,35.51705,139.33694,死傷,道路(高速自動車国道),80.0,合流,車道,冷蔵冷凍車,愛甲郡愛川町
2019-01-02 09:05:00,晴れ,釧路市鶴丘２番地,43.04381,144.19273,火災,その他の場所,,停車,バス停留所,リヤーエンジン,釧路市
2019-01-02 11:30:00,晴れ,秦野市,35.3748,139.21994,車両故障,道路(高速自動車国道),100.0,直進(定速),車道,リヤーエンジン,秦野市
2019-01-02 12:46:00,晴れ,横浜市青葉区奈良町８８７,35.55766,139.4897,車両故障,道路(その他),40.0,停車,バス停留所,リヤーエンジン,横浜市
2019-01-02 13:35:00,晴れ,北区滝野川７丁目４６,35.74206,139.72556,車両故障,道路(その他),50.0,直進(減速),バス停留所,リヤーエンジン,北区
2019-01-02 13:40:00,晴れ,高崎市阿久津町,36.28828,139.05792,車両故障,道路(その他),40.0,直進(定速),車道,キャブオーバ,高崎市
2019-01-02 14:13:00,晴れ,西東京市富士町２−１０,35.73369,139.56648,健康起因,道路(その他),60.0,直進(定速),車道,箱型,西東京市
2019-01-02 15:25:00,晴れ,多摩市永川５−１２０,35.63148,139.44563,車両故障,道路(その他),40.0,直進(定速),車道,リヤーエンジン,多摩市
2019-01-03 03:28:00,晴れ,江東区塩浜２丁目５番地,35.66123,139.80518,衝突,道路(自動車専用道路等),60.0,直進(定速),車道,トラクタ,江東区
